what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486963595136
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486963595966
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486963596774
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486963597466
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486963598327
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1486963610167
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1486963612963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486963642213
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1486963759519
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1486963759539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486963763624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486963883165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486963885378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486963907040
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1486963911273
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1486963911273
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1486963995034
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1486963998922
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1486964001447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1486964004962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1486964026914
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1486964034139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1486964044872
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1486964051975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1486964056460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486964059855
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1486964082082
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1486964107830
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1486964116388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964116398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964118518
error,log,,,"Internal error logged from JDI Debug: ",1486964118635
error,log,,,"Internal error logged from JDI Debug: ",1486964118645
error,log,,,"Internal error logged from JDI Debug: ",1486964118645
error,log,,,"Internal error logged from JDI Debug: ",1486964118655
error,log,,,"Internal error logged from JDI Debug: ",1486964118655
error,log,,,"Internal error logged from JDI Debug: ",1486964118665
error,log,,,"Internal error logged from JDI Debug: ",1486964118665
error,log,,,"Internal error logged from JDI Debug: ",1486964118675
error,log,,,"Internal error logged from JDI Debug: ",1486964118685
error,log,,,"Internal error logged from JDI Debug: ",1486964118690
error,log,,,"Internal error logged from JDI Debug: ",1486964118693
error,log,,,"Internal error logged from JDI Debug: ",1486964118698
error,log,,,"Internal error logged from JDI Debug: ",1486964118703
error,log,,,"Internal error logged from JDI Debug: ",1486964118708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964118718
error,log,,,"Internal error logged from JDI Debug: ",1486964118725
error,log,,,"Internal error logged from JDI Debug: ",1486964118730
error,log,,,"Internal error logged from JDI Debug: ",1486964118733
error,log,,,"Internal error logged from JDI Debug: ",1486964118735
error,log,,,"Internal error logged from JDI Debug: ",1486964118745
error,log,,,"Internal error logged from JDI Debug: ",1486964118750
error,log,,,"Internal error logged from JDI Debug: ",1486964118755
error,log,,,"Internal error logged from JDI Debug: ",1486964118765
error,log,,,"Internal error logged from JDI Debug: ",1486964118770
error,log,,,"Internal error logged from JDI Debug: ",1486964118775
error,log,,,"Internal error logged from JDI Debug: ",1486964118780
error,log,,,"Internal error logged from JDI Debug: ",1486964118785
error,log,,,"Internal error logged from JDI Debug: ",1486964118790
error,log,,,"Internal error logged from JDI Debug: ",1486964118793
error,log,,,"Internal error logged from JDI Debug: ",1486964118810
error,log,,,"Internal error logged from JDI Debug: ",1486964118810
error,log,,,"Internal error logged from JDI Debug: ",1486964118820
error,log,,,"Internal error logged from JDI Debug: ",1486964118820
error,log,,,"Internal error logged from JDI Debug: ",1486964118820
error,log,,,"Internal error logged from JDI Debug: ",1486964118830
error,log,,,"Internal error logged from JDI Debug: ",1486964118830
error,log,,,"Internal error logged from JDI Debug: ",1486964118830
error,log,,,"Internal error logged from JDI Debug: ",1486964118840
error,log,,,"Internal error logged from JDI Debug: ",1486964118840
error,log,,,"Internal error logged from JDI Debug: ",1486964118850
error,log,,,"Internal error logged from JDI Debug: ",1486964118850
error,log,,,"Internal error logged from JDI Debug: ",1486964118850
error,log,,,"Internal error logged from JDI Debug: ",1486964118860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964121398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964122334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964122539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964123158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964123363
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1486964127954
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964128136
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1486964131716
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1486964133801
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964133994
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964134814
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964135694
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964136381
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964137376
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1486964142116
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1486964146006
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964146196
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964148927
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964149502
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964150090
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964150825
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1486964164637
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1486964165595
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1486964175557
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964175750
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1486964191847
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1486964197492
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964197692
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964199669
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964202132
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1486964208272
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1486964210152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1486964217577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1486964220320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1486964225145
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1486964227563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1486964234110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964237800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964237810
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.DebugLast",1486964240925
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1486964244801
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964244991
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964245806
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964246676
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964247551
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964248071
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964248961
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964249911
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964251086
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964251676
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964252251
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964252818
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964253378
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964253981
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964254696
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1486964259641
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1486964266273
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1486964268718
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1486964268903
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1486964275933
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1486964278029
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1486964443313
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1486964451326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964451336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964453538
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964466858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486964476531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1486964485596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1486964486521
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1486964489658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1486964489668
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1486964489668
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1486964603344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486965162340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486965204938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486965206858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486965211310
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486965221450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486965224590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486965225820
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1486966269398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1486966269708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486966271916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486966275848
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966278068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966278233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966278436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966278621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966279146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966279348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966279558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966279771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1486966279991
