what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1481221154006
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1481221154006
java.specification.name,sysinfo,,,"Java Platform API Specification",1481221154006
java.specification.vendor,sysinfo,,,"Oracle Corporation",1481221154006
java.specification.version,sysinfo,,,"1.8",1481221154006
java.vendor,sysinfo,,,"Oracle Corporation",1481221154006
java.version,sysinfo,,,"1.8.0_102",1481221154006
java.vm.info,sysinfo,,,"mixed mode",1481221154006
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1481221154006
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1481221154006
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1481221154006
java.vm.specification.version,sysinfo,,,"1.8",1481221154006
java.vm.vendor,sysinfo,,,"Oracle Corporation",1481221154006
java.vm.version,sysinfo,,,"25.102-b14",1481221154006
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1481221154102
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1481221154235
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1481221154350
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1481221154357
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1481221154499
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1481221154577
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1481221154580
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1481221154587
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1481221154607
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1481221154771
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1481221154791
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1481221154822
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1481221155061
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1481221155277
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1481221155358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221156449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221165247
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1481221166754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221187878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221194428
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1481221198765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221201234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221206802
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221221414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221233909
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1481221234128
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1481221234168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221235999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481221242094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1481221245578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481221251844
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1481221253567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1481221259580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481221261540
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1481221265468
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1481221269153
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1481221269818
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1481221269853
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1481221269871
