what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1486340304001
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1486340304981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340319358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340368071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340399116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340545529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340554089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340562569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340564317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340565745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340569798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340573210
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1486340575832
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1486340582814
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1486340587330
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1486340591263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340599555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340601353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340609804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340609993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340610509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340616259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340618301
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340626094
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340626305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340626660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340630530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340630722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1486340631177
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1486340636970
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1486340637289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340687020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340690062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340693198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1486340696121
