what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219188468
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219190040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1482219205065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219207090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219219925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219222982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219285027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1482219290389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219290740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219314433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219336102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219349647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219350455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219439155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219441911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219464256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1482219470606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219471078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219497086
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1482219499472
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1482219499740
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1482219499746
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1482219499797
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1482219499797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219502196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219507835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219513339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219516075
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219516406
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219516438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1482219520839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219528044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219528175
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1482219536336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219536809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219556050
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219558377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219564807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219570368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219572512
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1482219572523
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219583436
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219598462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1482219605340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219612395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219612531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219612590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219614764
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1482219617916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1482219619467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1482219621337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1482219633836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1482219638221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1482219649187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219649799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219687531
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1482219690283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219700451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219700558
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219705247
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1482219715339
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1482219715355
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219718593
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1482219718593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219722175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219726018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219732428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219758148
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482219760255
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1482219761170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1482219761510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1482219859684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482219860250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482220079305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482220094215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482220248260
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482220255012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482220273230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482445215301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482445216881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482472234091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482472235126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474327808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1482474331398
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474332720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1482474336182
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474337120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474338976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474340885
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474340911
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474340911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474343921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474401104
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1482474404100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474408345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474423483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474478384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474493478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474497579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474501508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474501518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474513492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474515119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474515120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474528115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474531511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474538131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474539827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474539850
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474543352
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474543386
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474547136
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474547136
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1482474548866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474549840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474550858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474550868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474584817
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1482474597461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474605539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474616763
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474621587
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474621736
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1482474621764
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474624521
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474629700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1482474632513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474643582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474645924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474649543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1482474652337
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1482474652360
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1482474657340
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1482474657492
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1482474657617
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474663379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474695895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474696083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1482474696272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1482474729448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1482474729712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1482474729901
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1482474730636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1482474731209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1482474733666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1482474733954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1482474734302
